Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
40960	61230,46875	1222	0,590361445783133	1998	9,93975903614458	1986	0,734939759036145	-1216	0,745554874310239	16064	-9,84917228694053	-1280	0,784794604537094	-219	1,38931297709924	-91	3,34351145038168	128	-1,95419847328244	180	0,163636363636364	222	-0,201818181818182	-665	-0,678571428571429	
41600	61250	1209	0,626506024096386	1995	10,0963855421687	1980	0,807228915662651	-1280	0,784794604537094	16384	-10,0453709380748	-1280	0,784794604537094	-194	2,36641221374046	-155	2,9618320610687	101	-1,54198473282443	178	0,161818181818182	260	-0,236363636363636	-670	-0,683673469387755	
42240	61269,53125	1214	0,578313253012048	1999	10,0361445783133	1981	0,795180722891566	-1216	0,745554874310239	16256	-9,96689147762109	-1280	0,784794604537094	-255	1,48091603053435	-97	3,89312977099237	121	-1,84732824427481	186	0,169090909090909	241	-0,219090909090909	-662	-0,675510204081633	
42880	61289,0625	1214	0,55421686746988	2001	10,0361445783133	1980	0,807228915662651	-1152	0,706315144083384	16256	-9,96689147762109	-1344	0,824034334763949	-270	0,229007633587786	-15	4,12213740458015	94	-1,43511450381679	176	0,16	229	-0,208181818181818	-665	-0,678571428571429	
43520	61308,59375	1210	0,590361445783133	1998	10,0843373493976	1978	0,831325301204819	-1408	0,863274064990803	16320	-10,0061312078479	-1408	0,863274064990803	-134	0,290076335877863	-19	2,04580152671756	57	-0,870229007633588	186	0,169090909090909	220	-0,2	-659	-0,672448979591837	
44160	61328,125	1211	0,614457831325301	1996	10,0722891566265	1979	0,819277108433735	-1280	0,784794604537094	16192	-9,92765174739424	-1408	0,863274064990803	-123	-0,0610687022900763	4	1,87786259541985	78	-1,19083969465649	184	0,167272727272727	238	-0,216363636363636	-661	-0,674489795918367	
44800	61347,65625	1219	0,530120481927711	2003	9,97590361445783	1980	0,807228915662651	-1152	0,706315144083384	16128	-9,88841201716738	-1344	0,824034334763949	-143	-0,854961832061069	56	2,18320610687023	95	-1,45038167938931	187	0,17	221	-0,200909090909091	-658	-0,671428571428571	
45440	61367,1875	1214	0,662650602409639	1992	10,0361445783133	1977	0,843373493975904	-1408	0,863274064990803	16256	-9,96689147762109	-1472	0,902513795217658	-32	-1,48091603053435	97	0,488549618320611	28	-0,427480916030534	183	0,166363636363636	223	-0,202727272727273	-660	-0,673469387755102	
46080	61386,71875	1218	0,614457831325301	1996	9,98795180722892	1976	0,855421686746988	-1216	0,745554874310239	16256	-9,96689147762109	-1472	0,902513795217658	-56	-1,58778625954198	104	0,854961832061069	27	-0,412213740458015	189	0,171818181818182	217	-0,197272727272727	-664	-0,677551020408163	
46720	61406,25	1215	0,493975903614458	2006	10,0240963855422	1974	0,879518072289157	-1216	0,745554874310239	16256	-9,96689147762109	-1408	0,863274064990803	-181	-2,45801526717557	161	2,76335877862595	61	-0,931297709923664	184	0,167272727272727	219	-0,199090909090909	-659	-0,672448979591837	
